Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2017-05-09,419.2513427734375,421.21596955302783,415.2238818575379,417.2376123154877,2833132
2017-05-10,424.6540832519531,425.3417146431999,416.5008937845653,420.2336728226358,5378402
2017-05-11,419.8899230957031,426.81522137077144,417.87616240748633,426.3240646143034,4049649
2017-05-12,423.229736328125,426.12754288472996,419.88987674836073,422.0509482515842,3850940
2017-05-15,424.2611389160156,426.32400299056724,422.49298683944284,426.32400299056724,1885702
2017-05-16,429.51654052734375,431.7267457101603,424.60497345441814,424.60497345441814,3452072
2017-05-17,441.156982421875,444.4968422019706,427.4045939338582,428.7798267870943,6572678
2017-05-18,430.2041931152344,440.7640628425642,428.2886698712387,434.1825506492833,6158546
2017-05-19,435.5086364746094,437.08034385455795,426.9133945287615,431.23556734025146,4387481
2017-05-22,441.69720458984375,444.742382058365,434.77190726344435,438.1117667543474,6145914
2017-05-23,442.5321960449219,448.37697288947595,436.4418408451819,443.4654057857588,10330814
2017-05-24,461.2452697753906,464.9780788827618,449.9977987274228,461.6873228202858,27370795
2017-05-25,467.5811767578125,470.5281169474626,456.48104736792754,461.6872963785123,15108872
2017-05-26,472.5909729003906,479.6145075686574,465.1253852201931,465.71477924349233,7692869
2017-05-29,472.9839172363281,476.42201424635334,463.4554649602703,473.9662306677639,4253044
2017-05-30,472.78741455078125,478.38661276939706,471.5104191566952,474.1626772555817,3101380
2017-05-31,467.728515625,474.4573683560495,466.40238655017885,473.7697369904902,5393856
2017-06-01,468.21966552734375,471.21573931629393,465.17448806063425,468.5143775273755,3001232
2017-06-02,470.2825622558594,477.35523105794005,469.2511451287268,471.51045406331593,4319080
2017-06-05,469.6931457519531,473.376820998326,466.795339211502,469.84048676624286,2464819
2017-06-06,452.84649658203125,475.78352143918113,449.506636876124,474.35915495771627,8016939
2017-06-07,449.8995666503906,455.44963172813226,445.4791560610309,454.3690809218343,5250544
2017-06-08,452.6500244140625,455.2531790310331,449.26106100840235,451.3730289240156,4066322
2017-06-09,458.838623046875,459.72269916508844,446.9526241882804,451.81508780519613,4598706
2017-06-12,448.18048095703125,457.02130140330695,447.1490638960959,455.54783132892766,4341696
2017-06-13,441.5989685058594,450.6362636035901,440.07639475620357,449.0645561981815,3577406
2017-06-14,443.9565734863281,445.3809099949698,439.1432136232687,442.8268890422464,3605931
2017-06-15,440.37109375,449.75220488821896,439.0449946166009,444.00566539145893,3879154
2017-06-16,447.6893005371094,450.29242486831004,444.00562554640356,446.6578835308413,7042094
2017-06-19,444.3494873046875,448.327844716236,442.53220145851554,445.7738237954938,3869675
2017-06-20,459.13330078125,462.4240568360845,447.9349334407956,448.91724689132366,12014975
2017-06-21,449.2119140625,457.758052790273,447.4437619012218,457.758052790273,5436141
2017-06-22,444.6932678222656,454.8110833881508,443.6127171361457,450.7344889602582,5008885
2017-06-23,435.3121643066406,448.4260538033552,434.5754292784861,445.97027037617363,6753648
2017-06-27,434.4772033691406,436.6383048330103,426.7169335307783,435.9506734641902,5915274
2017-06-28,434.6737060546875,438.897641941602,432.3652634280971,436.0489389031368,4960238
2017-06-29,427.8957214355469,438.3573531108628,426.3240140058587,436.6383046672908,11085101
2017-06-30,424.899658203125,427.89573212345283,420.4792478092419,426.22578731685525,4776892
2017-07-03,422.6403503417969,427.0116570662709,418.71109664890395,423.8682421208259,6230025
2017-07-04,419.349609375,428.6815872293462,418.46553325804854,426.5205156076679,5020683
2017-07-05,424.1138000488281,426.27490146695857,419.84073086805773,421.3142009319216,5050749
2017-07-06,429.36920166015625,431.0391164866148,426.1275493891017,427.6992568558712,4038188
2017-07-07,429.1236267089844,433.6422744701025,424.60497894786624,426.766080479044,5311730
2017-07-10,439.04498291015625,440.1746373163293,436.14714641021936,438.7011672271056,1154721
2017-07-11,448.86810302734375,454.1234555349488,443.02332652879403,444.0056398913856,12069006
2017-07-12,452.84649658203125,455.5969622274073,448.5243234345144,452.84649658203125,6051540
2017-07-13,450.93096923828125,456.2845894370153,447.4928722242241,456.2845894370153,4382063
2017-07-14,443.3180236816406,451.8641622190885,442.43394762069016,451.8641622190885,3974269
2017-07-17,446.11761474609375,450.243342925961,445.23353870121514,446.95258711318894,4922453
2017-07-18,448.0822448730469,451.37300071057155,444.5950443450856,444.5950443450856,2349268
2017-07-19,452.4535827636719,454.71289171602035,444.9879945200873,444.9879945200873,3395937
2017-07-20,452.0115051269531,456.1372333991105,449.26103959739885,455.3022610133375,3318626
2017-07-21,456.3828125,457.6598079312884,449.5066186869758,451.8641648558761,3150269
2017-07-24,455.7934265136719,460.0664958828029,452.8464862560404,456.72663625305245,3773074
2017-07-25,448.03314208984375,456.48104321895585,446.6579093427384,453.9761260938251,7052112
2017-07-26,449.2119140625,450.587176829968,446.9526051922194,449.11370670296066,3641559
2017-07-27,437.52239990234375,452.7973918713312,432.51259536596257,450.88186867341784,13738611
2017-07-28,437.9644470214844,439.536154498807,434.62458736831553,436.7365552388615,3365171
2017-07-31,436.7365417480469,441.74634606196037,435.8524656874329,438.35735285547673,3804621
2017-08-01,438.995849609375,444.3494695956875,437.81709152373674,438.6520339260458,4012791
2017-08-02,432.56170654296875,441.99192106642096,430.40060509753107,441.549868050546,4045533
2017-08-03,423.8191223144531,433.69135985107675,422.0018365550726,433.20020315815367,6197142
2017-08-04,427.8957214355469,430.99000263841134,425.78375362900925,427.40456473738345,4166729
2017-08-07,422.394775390625,432.0214350246759,417.7778902731316,430.84267689400286,6461815
2017-08-08,422.394775390625,427.79749926190044,418.465521666061,424.359402252907,7134979
2017-08-09,408.69146728515625,422.29651351140643,407.66005023352676,421.21596280437905,10849567
2017-08-10,373.4755859375,396.46171468771314,368.61312236553124,393.9076937203945,28114017
2017-08-11,367.8763732910156,372.39502098788574,352.1593586777813,369.3498434110063,14699477
2017-08-14,368.76043701171875,375.04723665080104,366.00997153769066,373.2790845571866,8216208
2017-08-16,382.3655090332031,383.78987552169605,368.8586991444259,372.7388492490601,11019760
2017-08-17,378.4853210449219,385.50888546633985,377.69948235754435,385.50888546633985,5971420
2017-08-18,373.6720275878906,376.22604853434194,370.33216787845146,374.99815673103143,5856198
2017-08-21,367.7290344238281,375.78398647349326,364.7329605089735,375.2437260841362,5123101
2017-08-22,366.9923095703125,373.230005950513,365.6661804221081,372.100321504892,4163794
2017-08-23,373.2300109863281,374.4087691512152,366.7467361570521,369.34986082956726,4448871
2017-08-24,377.3556823730469,379.1238644598685,373.37732513889307,373.37732513889307,5208541
2017-08-28,372.5914611816406,380.5482057290103,371.60914778018326,379.02563194788183,4403872
2017-08-29,369.44805908203125,375.58751755528414,367.8272480406574,372.2967618180557,4689547
2017-08-30,371.8056335449219,375.98046562567725,370.77421643374834,374.1140761027873,3734824
2017-08-31,369.8901062011719,373.72115252030727,369.1533711363884,373.32820317016154,4685511
2017-09-01,383.93719482421875,385.90182160599517,371.95295946425244,372.64059082900445,7380325
2017-09-04,376.61895751953125,389.04521623045,373.7702546100528,386.04917230420693,8433560
2017-09-05,381.2849426269531,382.6110717209092,376.6189539474299,378.87829276842103,4477993
2017-09-06,375.9313659667969,379.860619731894,375.0963935461483,378.1906748905969,5953907
2017-09-07,371.4618225097656,377.60128152909215,369.34985460268274,376.9136801056239,7938665
2017-09-08,368.4166259765625,375.04724137792743,367.4343125837677,374.2614026548219,7471355
2017-09-11,368.6622009277344,373.2790858224581,367.58168018787705,373.2790858224581,5402725
2017-09-12,381.3831787109375,383.10222716617034,368.85868282281274,372.0020977035117,9266823
2017-09-13,382.7584228515625,386.9823885966127,380.351772929429,384.0845519805646,6537279
2017-09-14,397.2475280761719,399.40862952070916,383.3477996327778,383.838956326734,11476571
2017-09-15,394.6444091796875,399.55597618876885,392.92536072650904,395.7249599172506,9675506
2017-09-18,397.7878112792969,405.6954219187873,396.0687628813359,404.5657675385494,8966503
2017-09-19,416.1570739746094,420.1354613083588,406.6777554765781,407.6600688956037,28208471
2017-09-20,407.4635925292969,415.272996169264,405.695440373521,415.272996169264,5179160
2017-09-21,406.33392333984375,411.04904554703927,401.5696974548148,408.0529717535678,6946502
