Price,Close,High,Low,Open,Volume
Ticker,TI.NS,TI.NS,TI.NS,TI.NS,TI.NS
Date,,,,,
2017-05-24,11.874883651733398,12.123312183977527,11.775512807443532,12.123312183977527,182305
2017-05-25,11.62645435333252,11.974254654626913,11.42771173016983,11.874882869205777,117579
2017-05-26,11.725825309753418,11.874882029667429,11.576767642159895,11.874882029667429,76298
2017-05-29,11.775511741638184,11.974254359909299,11.626454067175178,11.725825850150516,136246
2017-05-30,10.881168365478516,11.874882388767505,10.135882848011775,11.874882388767505,260354
2017-05-31,10.533369064331055,11.22896869363302,10.1855687758403,10.831482514260793,250105
2017-06-01,10.7817964553833,11.825195317527955,10.334624431401938,10.433996202882119,194833
2017-06-02,10.732110977172852,11.129596182828353,10.583053314292426,10.98053946762741,71778
2017-06-05,10.732110977172852,11.030225355254219,10.632739201919234,10.831481804746986,58011
2017-06-06,10.732110977172852,11.129596182828353,10.682425089546044,10.831481804746986,84930
2017-06-07,10.63274097442627,10.930855402204129,10.583055078516686,10.930855402204129,46923
2017-06-08,10.83148193359375,10.930853710029453,10.533368499645634,10.83148193359375,93751
2017-06-09,12.520795822143555,12.918281012693102,11.228967531338354,11.228967531338354,1214752
2017-06-12,11.527083396911621,12.620168286892135,11.477397504712604,12.421425665775638,313847
2017-06-13,11.278655052185059,11.87488292444673,11.179283266301654,11.42771178333058,138474
2017-06-14,10.881168365478516,11.626453882945258,10.732111641056985,11.37802537712301,115382
2017-06-15,10.881168365478516,11.03022603757959,10.58305396895591,11.03022603757959,60045
2017-06-16,10.732110977172852,11.079910295201545,10.583053314292426,10.930853580000603,124929
2017-06-19,10.682426452636719,10.93085497479106,10.63274055866993,10.682426452636719,97770
2017-06-20,12.222681999206543,12.719538983339495,10.632739270909298,10.682425158858491,1052743
2017-06-21,11.527083396911621,12.371739773576621,11.427711612513587,12.371739773576621,365476
2017-06-22,10.98054027557373,11.626454019210017,10.881168493008355,11.527083184324193,223418
2017-06-23,12.073624610900879,12.520796664969401,10.781797180816957,10.980539789469907,952778
2017-06-27,11.427711486816406,12.520797312453277,11.278654759538451,12.222682910217808,205446
2017-06-28,11.874883651733398,12.421426612206409,11.228969846970521,11.576769223504515,346249
2017-06-29,11.676139831542969,12.123310954704449,11.626453940596239,12.123310954704449,127083
2017-06-30,11.477396965026855,11.72582546666086,11.378025185301444,11.527082854889562,101589
2017-07-03,11.527083396911621,11.874882746945596,11.477397504712604,11.82519685474658,100159
2017-07-04,11.924569129943848,12.172997653484344,11.527083871350897,11.527083871350897,247540
2017-07-05,12.719539642333984,13.365453376099572,12.172996741935659,12.172996741935659,835055
2017-07-06,12.222681999206543,12.918281587456779,12.123310223308156,12.868595699507585,248513
2017-07-07,12.76922607421875,12.918282804428788,12.123311365389563,12.322053988229474,186996
2017-07-10,12.76922607421875,12.918282804428788,12.620168396329131,12.818911019169043,38062
2017-07-11,12.62016773223877,13.26608240707905,12.520796899887632,12.918282124651244,252831
2017-07-12,14.359167098999023,14.657281488296897,13.315767210296222,13.365453099792454,2507641
2017-07-13,13.663568496704102,14.657282569191674,13.514511764902801,14.55791078287108,583646
2017-07-14,13.117024421691895,13.862309910966202,13.01765359172969,13.812624022145346,244980
2017-07-17,13.266082763671875,13.514511272746782,13.017654254596968,13.216396872320983,127854
2017-07-18,12.918282508850098,13.26608280162173,12.86859661735707,13.216396910128703,98020
2017-07-19,12.918282508850098,13.26608280162173,12.86859661735707,13.26608280162173,83535
2017-07-20,12.868596076965332,13.464824854485073,12.818910187558767,13.017653745185026,174991
2017-07-21,12.76922607421875,13.067339534638828,12.570482503699258,13.017654589688533,103636
2017-07-24,13.266082763671875,14.16042501726972,12.868596580544292,13.315767707343214,1031028
2017-07-25,13.415139198303223,13.613881811705141,12.96796808122902,13.514510978843948,397055
2017-07-26,13.464825630187988,13.762940036122103,13.117025331984925,13.166711224253874,183534
2017-07-27,13.067338943481445,13.564195951943546,12.868596329632512,13.41513922847673,215201
2017-07-28,13.16671085357666,13.514511141988239,12.918282346905402,13.16671085357666,129762
2017-07-31,13.117024421691895,13.415138806937518,13.01765359172969,13.06733853287104,117855
2017-08-01,13.067338943481445,13.365453338094612,13.017654000778863,13.067338943481445,704388
2017-08-02,12.967967987060547,13.66356760275585,12.918282097150984,13.067338819200147,283589
2017-08-03,12.868596076965332,13.166710465725203,12.818910187558767,13.067338686912073,110043
2017-08-04,12.669854164123535,13.017654461426204,12.570482379842895,12.918282677145564,112367
2017-08-07,12.62016773223877,13.01765390468191,12.570481842223437,12.669853622254104,84075
2017-08-08,12.371740341186523,12.818911496134543,12.32205444670794,12.620168865899824,76321
2017-08-09,11.775511741638184,12.322053704963862,11.626454067175178,12.322053704963862,172897
2017-08-10,11.179283142089844,11.924568684895833,11.030226412600475,11.775511955406465,101023
2017-08-11,11.576767921447754,12.023939987336774,10.732111575425293,10.980540079728287,113162
2017-08-14,11.825197219848633,12.023940794780891,11.477397859076378,11.477397859076378,33584
2017-08-16,11.576767921447754,11.924568206543762,11.527082978730784,11.924568206543762,112314
2017-08-17,11.62645435333252,12.02394054733748,11.527083515590965,11.874882869205777,93157
2017-08-18,11.527083396911621,11.6761401258291,11.427711612513587,11.477397504712604,71616
2017-08-21,11.278655052185059,11.576768514476102,11.179283266301654,11.42771178333058,102664
2017-08-22,10.881168365478516,11.427711267823367,10.185568738712131,11.427711267823367,163556
2017-08-23,10.7817964553833,11.278653417425307,10.732110569643211,11.129595760205037,103952
2017-08-24,11.030226707458496,11.626454589033798,10.980540813740655,10.980540813740655,249305
2017-08-28,10.930854797363281,11.427711833607066,10.632740386081093,11.030226583683874,126261
2017-08-29,10.930854797363281,11.079911529164582,10.831483011042689,11.079911529164582,72441
2017-08-30,10.930854797363281,11.22896920864547,10.930854797363281,10.980540690523577,66072
2017-08-31,10.930854797363281,11.129597422324878,10.732112172401685,10.930854797363281,54629
2017-09-01,10.98054027557373,11.17928289302493,10.831482601725666,10.930854384291042,95361
2017-09-04,11.37802505493164,11.676139443012545,10.930853946650043,11.079910666850736,200835
2017-09-05,11.228968620300293,11.52708301596269,11.179282729743305,11.52708301596269,59276
2017-09-06,11.576767921447754,11.725825592637273,11.030225970124794,11.030225970124794,134954
2017-09-07,13.862310409545898,13.862310409545898,11.626453861306898,11.626453861306898,1285941
2017-09-08,13.911996841430664,14.607596493966282,13.713254218946142,14.160425356456212,1602983
2017-09-11,13.266082763671875,14.259796799971506,13.166710980970091,14.259796799971506,187623
2017-09-12,13.464825630187988,13.762940036122103,13.166711224253874,13.166711224253874,114121
2017-09-13,14.061053276062012,14.50822535186009,13.26608280282,13.415139529632988,410275
2017-09-14,14.061053276062012,14.607596187175563,13.71325393093852,14.110739167559528,176246
2017-09-15,14.011367797851562,14.16042451897954,13.315767238775617,13.961681908249064,155644
2017-09-18,13.911996841430664,14.359167978940734,13.663568326405118,14.061053571374162,150269
2017-09-19,13.96168327331543,14.210111797937842,13.911997378855025,14.011369167775834,121487
2017-09-20,13.96168327331543,14.210111797937842,13.86231148439462,13.96168327331543,73150
2017-09-21,13.862310409545898,14.011368081369556,13.762939576009666,13.96168219076167,88856
2017-09-22,13.71325397491455,14.35916772341491,13.564196299944003,14.35916772341491,100238
2017-09-25,13.365453720092773,13.613882231424162,12.918282589232188,13.56419633962197,91658
2017-09-26,13.365453720092773,13.713254015028541,13.067339316959195,13.216396992365766,28024
2017-09-27,12.967967987060547,13.514510880706686,12.818910317331857,13.216396488928835,66572
2017-09-28,13.464825630187988,13.61388235931526,12.81891092605081,13.315767953381144,213194
2017-09-29,14.95539665222168,16.14785332349792,13.166711171467535,13.564196412666426,1835077
2017-10-03,15.352882385253906,16.396282361426028,14.110739782115571,14.110739782115571,970043
